""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"annotation"
"GRMZM2G019251"	612.527871563154	0.187681851733027	0.130335461626301	1.43999069317872	0.149870032171526	0.213776944356704	"RNA recognition motif containing protein, putative, expressed"
"GRMZM2G481529"	95.1174029377974	-0.863488795823991	0.235993279200824	-3.65895502934719	0.000253245770257959	0.000700151813641696	"enolase, putative, expressed"
"GRMZM2G019257"	273.556439104083	-0.400698536496263	0.141640784940504	-2.82897709628321	0.00466970407425938	0.00995086186984841	"MYB family transcription factor, putative, expressed"
"GRMZM2G026639"	466.355431524226	0.144668569671495	0.119728282910395	1.20830739533586	0.226929044908336	0.304574198067931	"expressed protein"
"GRMZM2G160327"	23.9945692558119	0.538744825888663	0.436865548825586	1.23320510701051	0.217499250492474	0.294055800957613	"peroxidase precursor, putative, expressed"
"GRMZM2G160324"	1120.42297330243	-0.0962895554679006	0.139911784001306	-0.688216193905451	0.491316647600823	0.576112166673652	"myosin heavy chain-related, putative, expressed"
"GRMZM2G119482"	1366.16848332516	-0.200268357368313	0.105436628674129	-1.89941920456579	0.057509380428571	0.0930912905553592	"aldehyde dehydrogenase, putative, expressed"
"GRMZM2G119483"	293.948077421055	0.505866481523106	0.14000096521041	3.61330709943914	0.000302316286961136	0.000822631720508018	"dnaJ domain containing protein, expressed"
"GRMZM2G115105"	131.027498847207	-4.5506008563762	0.328054981469814	-13.8714578757126	9.43396446315262e-44	7.0102069265502e-42	"MATE efflux family protein, putative, expressed"
"GRMZM5G868683"	352.305667999053	-0.762462465581175	0.126283420305824	-6.03770838432077	1.56318228528833e-09	9.33484897684185e-09	"OsFBX389 - F-box domain containing protein, expressed"
"GRMZM2G373420"	20.4335218331311	-0.0958040977577868	0.477083096025373	-0.200812182523213	0.840845436694587	0.879050465384821	"expressed protein"
"GRMZM2G441656"	278.42381896234	-0.977146232862544	0.270745917499713	-3.60908944403041	0.000307273658929539	0.000834775415095999	"expressed protein"
"GRMZM2G369956"	302.184995052581	0.739453221060204	0.153442887464012	4.8190778554896	1.44223269316514e-06	5.7841070162071e-06	""
"GRMZM2G143035"	111.814523799519	0.10385778624709	0.237199244769314	0.437850408622065	0.661494726661486	0.730187340169613	""
"GRMZM2G068177"	101.398922328897	0.00965285438116217	0.212528972894401	0.0454190045230134	0.963773333199175	0.972830579389001	"DHHC zinc finger domain containing protein, expressed"
"GRMZM2G068176"	108.07616803229	-0.0887660406944815	0.214817900253922	-0.413215288807671	0.679448887619213	0.745478813875749	""
"GRMZM2G064845"	24.8624560471698	-0.769126365245995	0.425928672212441	-1.80576330128435	0.070955320131076	0.111808096472214	"expressed protein"
"GRMZM5G873277"	437.819151463797	-0.323115778916952	0.122005238325328	-2.64837627754441	0.00808794476961593	0.0163432644865764	"expressed protein"
"GRMZM2G064841"	1031.88231196914	-0.196507672350259	0.128839856668805	-1.52520871592865	0.127207047328186	0.185710028936429	"mannose-1-phosphate guanyltransferase, putative, expressed"
